text,label
"Dear customer, your account has been suspended. Verify now using the secure link below.",phishing
"Your package is waiting. Pay the delivery fee immediately to avoid return.",phishing
"We detected unusual activity on your bank account. Confirm your identity now.",phishing
"Congratulations, you won a cash prize. Click the link to claim it today.",phishing
"Your Apple ID was locked. Login now to restore access.",phishing
"Customs notice: pay the clearance fee within 2 hours to release your shipment.",phishing
"Microsoft security alert: reset your password immediately to avoid account closure.",phishing
"Your PayPal account is limited. Update your billing information now.",phishing
"Important notice from your bank: verify your OTP code to stop suspension.",phishing
"Final warning: your email account will be deleted unless you confirm today.",phishing
"We could not deliver your parcel. Confirm address and payment here.",phishing
"Your banking session has expired. Sign in again to prevent permanent suspension.",phishing
"We attempted to deliver your package twice. Confirm address and pay the storage fee now.",phishing
"Your Netflix payment method failed. Update your billing details immediately to continue service.",phishing
"Security alert: your mailbox has exceeded its limit. Login here to avoid deactivation.",phishing
"Your company account is under review. Confirm employee credentials through the link.",phishing
"Your government benefits are pending. Verify your national ID and bank account now.",phishing
"A lawsuit has been filed against you. Open the secure message and pay the penalty today.",phishing
"Bank fraud notice: suspicious transaction detected. Confirm your debit card number now.",phishing
"Your mobile number will be blocked. Validate your SIM ownership through the attached page.",phishing
"Parcel customs payment failed. Retry the charge now or your package will be returned.",phishing
"Your cloud storage was compromised. Reset your password and recovery email immediately.",phishing
"You are eligible for a loyalty reward. Submit your account details to receive the transfer.",phishing
"Action required: unusual transfer request. Reconfirm your IBAN and OTP now.",phishing
"Courier support asks you to download the invoice and verify your card to release shipment.",phishing
"The payroll department needs your login details to confirm this month salary release.",phishing
"Your card was flagged for suspicious use. Verify CVV and expiry date to restore service.",phishing
"You have received a tax refund. Submit your card details to continue.",phishing
"Security department: suspicious login found. Re-enter password to secure your account.",phishing
"Your WhatsApp account will expire today. Enter the verification code now.",phishing
"FedEx shipment on hold. Pay now and confirm delivery details.",phishing
"Urgent: your salary transfer failed. Verify bank data immediately.",phishing
"Dear user, your subscription payment failed. Update your card now.",phishing
"Bank support team asks you to confirm your ATM PIN for identity validation.",phishing
"Your reward is ready. Open the attached link and enter your login information.",phishing
"Act now to avoid legal action. Pay the fine using the following URL.",phishing
"تم تعليق حسابك البنكي بسبب نشاط غير معتاد. حدث بياناتك فورًا عبر الرابط.",phishing
"عاجل: شحنتك متوقفة في الجمارك. ادفع الرسوم الآن لتجنب الإلغاء.",phishing
"تم رصد محاولة دخول مشبوهة. يرجى إدخال رمز التحقق وكلمة المرور فورًا.",phishing
"تهانينا، ربحت جائزة مالية. اضغط على الرابط لاستلام المكافأة.",phishing
"تنبيه نهائي من البنك: سيتم إيقاف البطاقة خلال ساعتين إذا لم تؤكد هويتك.",phishing
"شركة الشحن تطلب منك سداد رسوم بسيطة لإعادة جدولة التوصيل.",phishing
"تم إيقاف حساب أبشر مؤقتًا. يرجى تسجيل الدخول الآن لإعادة التفعيل.",phishing
